#Time 	Sensor1         	Sensor2         	Target         
#================================================================

10927   	0.04, -14.51 	-11.81, -14.70 	-9.15, -4.23
10942   	0.04, -14.51 	-11.81, -14.74 	-9.15, -4.23
10957   	0.04, -14.51 	-11.80, -14.74 	-9.15, -4.23
10972   	0.04, -14.51 	-11.80, -14.74 	-9.15, -4.23
11053   	0.04, -14.47 	-11.80, -14.74 	-9.15, -4.23
11069   	0.03, -14.47 	-11.80, -14.74 	-9.15, -4.23
11085   	0.04, -14.47 	-11.80, -14.74 	-9.15, -4.23
11101   	0.04, -14.39 	-11.80, -14.74 	-9.15, -4.23
11178   	0.04, -14.54 	-11.80, -14.73 	-9.15, -4.23
11193   	0.05, -14.54 	-11.80, -14.74 	-9.15, -4.23
11208   	0.05, -14.63 	-11.80, -14.74 	-9.15, -4.23
11223   	0.05, -14.59 	-11.79, -14.70 	-9.15, -4.23
11296   	0.05, -14.58 	-11.77, -14.74 	-9.15, -4.23
11311   	0.05, -14.58 	-11.77, -14.74 	-9.15, -4.23
11326   	0.05, -14.67 	-11.79, -14.74 	-9.15, -4.23
11341   	0.05, -14.67 	-102.60, 340.38 	-9.15, -4.23
11357   	0.05, -14.58 	-11.79, -14.74 	-9.15, -4.23
11438   	0.05, -14.55 	-11.78, -14.70 	-9.15, -4.23
11454   	0.05, -14.63 	-11.78, -14.70 	-9.15, -4.23
11470   	0.05, -14.63 	-11.79, -14.66 	-9.15, -4.23
