#Time 	Sensor1         	Sensor2         	Target         
#================================================================

10306   	-1.69, -13.33 	-7.11, -14.30 	-12.20, -0.55
10384   	-1.70, -13.09 	-7.13, -13.31 	-12.20, -0.55
10400   	-1.70, -13.22 	-8.05, -12.39 	-12.20, -0.55
10416   	-1.70, -13.26 	-8.15, -12.25 	-12.20, -0.55
10431   	-1.69, -13.26 	-8.36, -11.59 	-12.20, -0.55
10509   	-1.70, -13.25 	-9.81, -8.10 	-12.20, -0.55
10524   	-1.69, -13.33 	-111.69, 283.19 	-12.20, -0.55
10539   	-1.69, -13.33 	-11.13, -5.53 	-12.20, -0.55
10554   	-1.69, -13.29 	-11.24, -5.38 	-12.20, -0.55
10569   	-1.69, -13.29 	-11.45, -4.36 	-12.20, -0.55
10650   	-1.70, -13.30 	-13.04, -1.86 	-12.20, -0.55
